country,location_name,latitude,longitude,last_update_Date,last_updated_time,temperature_celsius,condition_text,wind_kph,pressure_in,precip_in,humidity,cloud
Grenada,Saint George's,12.05,-61.75,28-Jun-24,09:15:00,31.2,Partly Cloudy,3.6,29.91,0,66,25
Guinea-Bissau,Bissau,11.85,-15.58,28-Jun-24,13:15:00,24.2,Partly Cloudy,3.6,29.91,0,89,25
Samoa,Apia,-13.83,-171.73,02-Jul-24,02:15:00,24.1,Partly Cloudy,3.6,29.91,0,94,25
Samoa,Apia,-13.83,-171.73,04-Jul-24,02:00:00,23.1,Partly Cloudy,3.6,29.91,0,100,25
Congo,Brazzaville,-4.26,15.28,08-Jul-24,14:00:00,29.2,Partly Cloudy,3.6,29.91,0,55,25
Democratic Republic of Congo,Kinshasa,-4.3,15.3,08-Jul-24,14:00:00,29.2,Partly Cloudy,3.6,29.91,0,55,25
Gambia,Banjul,13.45,-16.58,11-Jul-24,12:45:00,31.3,Partly Cloudy,3.6,29.91,0,71,25
Senegal,Dakar,14.67,-17.44,11-Jul-24,12:45:00,29.3,Partly Cloudy,3.6,29.91,0,75,25
Fiji Islands,Suva,-18.13,178.42,17-Jul-24,00:45:00,23.3,Partly Cloudy,3.6,29.91,0,100,25
Slovenia,Ljubljana,46.06,14.51,16-Jul-24,14:45:00,32.3,Partly Cloudy,3.6,29.91,0,41,25
Sweden,Stockholm,59.33,18.05,16-Jul-24,14:45:00,24.4,Partly Cloudy,3.6,29.91,0,50,25
Vatican City,Vatican City,41.9,12.45,17-Aug-24,14:15:00,34.1,Partly Cloudy,3.6,29.91,0,41,25
Italy,Rome,41.9,12.48,17-Aug-24,14:15:00,34.1,Partly Cloudy,3.6,29.91,0,41,25
Netherlands,Amsterdam,52.37,4.89,17-Aug-24,14:00:00,22.1,Partly Cloudy,3.6,29.91,0,53,25
Luxembourg,Luxembourg,49.61,6.13,20-Aug-24,14:15:00,22.2,Partly Cloudy,3.6,29.91,0,61,25
Trinidad and Tobago,Port Of Spain,10.65,-61.52,21-Aug-24,08:15:00,28.2,Partly Cloudy,3.6,29.91,0,74,25
Angola,Luanda,-8.84,13.23,22-Aug-24,13:00:00,27.2,Partly Cloudy,3.6,29.91,0,58,25
Georgia,Tbilisi,41.73,44.79,27-Aug-24,16:15:00,33.2,Partly Cloudy,3.6,29.91,0,39,25
Albania,Tirana,41.33,19.82,29-Aug-24,14:00:00,34.2,Partly Cloudy,3.6,29.91,0,41,25
Bulgaria,Sofia,42.68,23.32,05-Sep-24,15:00:00,31.2,Partly Cloudy,3.6,29.91,0,29,25
Albania,Tirana,41.33,19.82,06-Sep-24,14:15:00,30.2,Partly Cloudy,3.6,29.91,0,55,25
Portugal,Lisbon,38.72,-9.13,07-Sep-24,13:00:00,22.4,Partly Cloudy,3.6,29.91,0,57,25
Trinidad and Tobago,Port Of Spain,10.65,-61.52,09-Sep-24,08:30:00,29,Partly Cloudy,3.6,29.91,0,89,25
Israel,Jerusalem,31.78,35.23,24-Sep-24,12:45:00,30,Partly Cloudy,3.6,29.91,0,40,25
Mali,Bamako,12.65,-8,02-Oct-24,09:30:00,27.2,Partly Cloudy,3.6,29.91,0,70,25
Croatia,Zagreb,45.8,16,11-Oct-24,11:30:00,15.3,Partly Cloudy,3.6,29.91,0,88,25
Cyprus,Nicosia,35.1667,33.3667,12-Oct-24,12:45:00,29.2,Partly Cloudy,3.6,29.91,0,55,25
Guinea-Bissau,Bissau,11.85,-15.5833,16-Oct-24,09:30:00,27.2,Partly Cloudy,3.6,29.91,0,79,25
Benin,Porto-Novo,6.4833,2.6167,03-Nov-24,10:00:00,29.2,Partly Cloudy,3.6,29.91,0,84,25
Greece,Athens,37.9795,23.7162,18-Nov-24,10:45:00,17.2,Partly Cloudy,3.6,29.91,0,59,25
Thailand,Nan,18.7833,100.7833,17-Dec-24,17:45:00,27.4,Partly Cloudy,3.6,29.91,0,51,25
Thailand,Nan,18.7833,100.7833,30-Dec-24,17:00:00,29.2,Partly Cloudy,3.6,29.91,0,48,25
Burundi,Bujumbura,-3.3761,29.36,09-Jan-25,12:30:00,30.2,Partly Cloudy,3.6,29.91,0,52,25
Israel,Jerusalem,31.78,35.23,10-Jan-25,12:15:00,21.1,Partly Cloudy,3.6,29.91,0,35,25
Gabon,Libreville,0.3833,9.45,25-Jan-25,11:15:00,29.3,Partly Cloudy,3.6,29.91,0,79,25
Montenegro,Podgorica,42.4411,19.2636,16-Feb-25,11:15:00,11.2,Partly Cloudy,3.6,29.91,0,54,25
Greece,Athens,37.9795,23.7162,17-Feb-25,12:15:00,15,Partly Cloudy,3.6,29.91,0,63,25
Burundi,Bujumbura,-3.3761,29.36,21-Feb-25,12:00:00,30.3,Partly Cloudy,3.6,29.91,0,59,25
Congo,Brazzaville,-4.2592,15.2847,23-Feb-25,11:00:00,27.1,Partly Cloudy,3.6,29.91,0,74,25
Democratic Republic of Congo,Kinshasa,-4.3,15.3,23-Feb-25,11:00:00,27.1,Partly Cloudy,3.6,29.91,0,74,25
Belgium,Brussels,50.8333,4.3333,25-Feb-25,11:00:00,10.2,Partly Cloudy,3.6,29.91,0,82,25
Burundi,Bujumbura,-3.3761,29.36,25-Feb-25,12:00:00,32,Partly Cloudy,3.6,29.91,0,49,25
Congo,Brazzaville,-4.2592,15.2847,01-Mar-25,10:45:00,29.3,Partly Cloudy,3.6,29.91,0,70,25
Democratic Republic of Congo,Kinshasa,-4.3,15.3,01-Mar-25,11:00:00,29.3,Partly Cloudy,3.6,29.91,0,70,25
Dominican Republic,Santo Domingo,18.4667,-69.9,03-Mar-25,05:45:00,21,Partly Cloudy,3.6,29.91,0,100,25
Congo,Brazzaville,-4.2592,15.2847,10-Mar-25,10:45:00,29.1,Partly Cloudy,3.6,29.91,0,70,25
Democratic Republic of Congo,Kinshasa,-4.3,15.3,10-Mar-25,10:45:00,29.1,Partly Cloudy,3.6,29.91,0,70,25
Venezuela,Caracas,10.5,-66.9167,13-Mar-25,05:45:00,24.1,Partly Cloudy,3.6,29.91,0,83,25
Antigua and Barbuda,Saint John's,17.1167,-61.85,18-Mar-25,05:30:00,21,Partly Cloudy,3.6,29.91,0,88,25
Nigeria,Abuja,9.1758,7.1808,03-Apr-25,10:00:00,28.1,Partly Cloudy,3.6,29.91,0,84,25
Nigeria,Abuja,9.1758,7.1808,11-Apr-25,10:15:00,30.2,Partly Cloudy,3.6,29.91,0,66,25
Congo,Brazzaville,-4.2592,15.2847,26-Apr-25,10:00:00,27.1,Partly Cloudy,3.6,29.91,0,74,25
Democratic Republic of Congo,Kinshasa,-4.3,15.3,26-Apr-25,10:00:00,27.1,Partly Cloudy,3.6,29.91,0,74,25
Bosnia and Herzegovina,Sarajevo,43.85,18.38,16-May-24,10:45:00,19,Partly Cloudy,3.6,29.88,0,64,25
Greece,Athens,37.98,23.72,16-May-24,11:45:00,23,Partly Cloudy,3.6,30.12,0,38,25
Tajikistan,Dushanbe,38.56,68.77,16-May-24,13:45:00,29,Partly Cloudy,3.6,30.03,0,37,25
Trinidad and Tobago,Port Of Spain,10.65,-61.52,16-May-24,04:45:00,26,Partly Cloudy,3.6,29.85,0,89,25
Bosnia and Herzegovina,Sarajevo,43.85,18.38,16-May-24,16:00:00,20,Partly Cloudy,3.6,29.85,0,83,25
Papua New Guinea,Port Moresby,-9.46,147.19,17-May-24,00:15:00,24,Partly Cloudy,3.6,29.8,0,100,25
